john,brian,jacob,rob,matt,lockwood,mark,nick,larson,kyle,adam,greg
81,124,57,115,84,86,89,126,65,98,79,112
85,83,73,67,54,124,50,85,101,89,79,111
136,78,65,150,94,73,97,78,62,86,101,94
63,82,68,83,73,78,90,99,94,79,85,65
100,92,77,115,64,91,103,122,87,126,111,131
63,96,108,96,81,88,56,91,106,116,105,75
115,93,81,55,70,87,86,67,97,67,54,77
89,98,89,122,117,91,76,63,130,118,102,82
72,82,102,166,66,79,58,89,57,85,69,63
125,95,90,140,71,94,81,97,55,46,78,113
88,78,59,83,60,93,107,85,88,69,84,80
52,74,65,108,63,87,126,122,55,107,62,51
86,69,78,93,96,62,68,98,86,66,87,109
